I,From,To,Dijkstra Time,Dijkstra Relaxed,Bidirectional Dijkstra Time,Bidirectional Dijkstra Relaxed,Contraction Hierarchy Time,Contraction Hierarchy Relaxed
402,251127213,277550227,5041500,48388,7422400,59726,709000,1083
403,1244959756,3188792765,374277000,2328122,580936400,1875652,2861700,9400
404,1805279360,4569387379,428308799,2211848,457399499,1987406,3996801,7977
405,1404517790,2258728396,156107300,829607,112040000,573331,2035300,7246
406,1244152857,290826309,300402801,1719661,354092101,1761645,2777800,9896
407,2068760113,1409553016,196749400,1265315,146188500,739221,2707900,9495
408,1165827302,339434332,100003900,653635,135237000,584848,1701700,7831
409,4199695661,1147522312,413916600,2223501,414496101,1977663,2334601,9723
410,2792790376,3210808961,179533999,1158575,155572400,840443,1689500,7622
411,685787422,4560927472,209918100,1267946,85076899,488501,1205400,5598
412,269273442,692696,144806601,854924,96791300,574997,1542901,6648
413,390850199,633679544,26192400,188074,18890200,120762,838900,4030
414,2640098557,1578270263,355753200,2207137,345251600,1430030,1545900,7098
415,61172934,3398642400,238304799,1289674,178300100,884141,1901499,6590
416,2184582747,2519482980,82990600,579819,100154900,526414,1531600,6875
417,1194448702,1035592183,47301500,314744,79618700,380432,1818301,5734
418,588694186,1145379147,382410900,2163476,424268699,2112538,2599600,9172
419,3158423017,1436301169,84427699,296009,66049000,420724,1205100,7006
420,5250554826,1618946893,257015501,1648108,155970200,772391,1752999,9452
421,412785380,614833568,215067201,1375211,145561701,757681,1957399,9224
422,351863952,1113514624,138376900,846842,77544800,386784,1634800,6004
423,33724170,94038959,15473099,121193,18229699,122459,848701,4199
424,4193671579,1427436681,140859399,908077,303400300,1350415,2127800,7765
425,671542629,1826425989,98220800,647029,87366300,431999,1961801,8938
426,620083878,1356753446,396759200,1992324,552094300,1989147,2525900,6087
427,290677781,2972150612,225238500,1313957,69124700,386407,1080100,4675
428,3999913816,506335963,339577700,1874904,451311000,1902917,2627499,11008
429,2639493255,2037152555,288931399,1744546,350159400,1627199,2272400,10148
430,1588199877,4870415961,444361400,1929456,473332999,1976236,3743100,9076
431,4579139367,1138708468,370494600,2165410,443769500,1839867,2491099,10960
432,283313126,272267680,208868500,1377214,115941100,579586,1234800,5946
433,1100353173,1385084309,257544399,1643221,219585800,999057,2244600,10516
434,3925147852,4868689361,209761500,1509973,492300500,2258906,3439701,9615
435,2516622507,276261081,337623899,1722834,476433000,2027749,2599201,13855
436,251077078,4562525381,426328300,2358886,438824800,1885453,2156700,8945
437,482455446,3006854028,201300700,1224740,431628200,1757682,3145600,13579
438,261727637,361438895,3616200,31371,1727300,13314,216400,621
439,1085989524,1616004294,117139599,684332,89271001,339185,2486400,6923
440,1219025341,1147522651,439298800,2219056,462200300,1809815,2633200,9649
441,1103674352,1145294533,47486100,369465,38451199,237950,1248700,5252
442,1235135882,1829384955,42342100,327778,104256100,513182,960100,3416
443,2467608973,4029480282,396500501,2039794,388878800,1934228,4030601,10493
444,1106290497,3958681436,44544700,382083,87927000,520883,1237100,6778
445,454347782,2645868450,161678299,1137693,140808400,690853,2094901,11053
446,3476268177,1117582509,282519000,1746663,380710500,1662517,1779200,7489
447,2327548037,1764961637,52792900,309897,50523600,262779,1107300,5140
448,2174116033,3263820164,110247400,728958,126579499,702848,1828800,7465
449,711900658,1159120525,36115000,283331,19126700,147708,730100,2921
450,2937553168,1080381693,357319299,2392514,357166001,1937118,2163600,11310
451,2594406427,4501699166,457140900,2131383,241792401,1072916,2973800,7573
452,5314772838,3240221048,47697900,377720,30996400,224099,809000,4175
453,2275894647,1943102446,314450400,2095643,409091701,2066044,2448699,10542
454,2500118597,1142172121,212271700,1523603,212636101,1024870,2684400,7347
455,600368898,450149740,310464600,1917923,332330900,1733744,1796799,8729
456,2483196707,3618282273,48954699,352263,55682900,303410,1918800,4988
457,30560521,3619148176,132669601,623344,83995999,499468,1737301,6825
458,665423462,4414781374,47301600,346032,68492199,350071,1795201,5513
459,3063299218,2789344552,340231800,1747819,296845899,1123444,2417999,8850
460,2382182166,1124622455,462183400,2409844,441382101,1833773,2401100,8841
461,440902322,446092208,50926999,350460,29955200,216908,790999,3761
462,282018568,1083074590,365556600,2378264,488755000,2139109,1857700,9045
463,1931258874,2192583395,57791099,428383,55473700,324224,1343399,7236
464,251606055,349235234,356397799,1975613,225704799,985468,2468500,7330
465,4429608270,1072927348,172878399,1201575,125476799,751891,1890800,9332
466,518046449,287318046,5556400,56351,4606600,38592,454900,1368
467,1306229922,707834020,89776700,674766,45662201,289905,1387501,6840
468,428254483,1242106955,122023299,880805,176968400,1022749,1937200,8682
469,1080381342,3439434193,145974400,1015776,386104401,2043124,2436201,9833
470,1098161626,282024998,16806100,150281,8978600,78955,614500,3058
471,277627017,603896487,211055600,1544505,199839300,1126463,1540599,8093
472,372798503,1690463071,40263400,348483,34702400,225243,670601,2954
473,1127675022,3481296377,388705100,2127501,376475900,2021692,2020200,9916
474,3412740581,4103059642,465384101,2232717,403973100,2098671,2604200,12020
475,1413926919,1756261136,8160700,79023,18511900,140637,466001,2239
476,445798670,1370395221,314190400,2131212,389918301,1862599,2186800,11918
477,2429146028,1849615616,136553699,846460,39039700,280083,1369500,5970
478,265446414,1083296378,141532000,1013843,235814400,1279504,1894800,9633
